S.No,Comments,Label,Unnamed: 3
HATE_1294,Vijay Devarakonda fans ekkada thagedhele ,non-hate,
HATE_1295,sudhIr annA mIru èduTivArito mATlADe vidhAnaM chAlA bAguMTadi aMduke mIraMTe aMdarikI iShTaM èMta paiki ediginA ilAge vuMDAli,non-hate,
HATE_1296,Sudheer gaaru team yekada unna full comedyperfect time ki set ayyeka comedy chestharu ,non-hate,
HATE_1297,ndian marriages antey narakami ve seen that hellpolice case lu blackmailing chala untayivinthaluviseshaluvadhu brothers marriage vadhuhappy ga single ga undandifocus on your goalslove your parentsfriendsgod bless you all…,hate,
HATE_1298,lavada bro hater gallu chiller,hate,
HATE_1299,gudda lo rod dimuptha,hate,
HATE_1300,puk chinthapandu chestha na kodaka,hate,
HATE_1301,denginchukondi ra monna na notlo modda pettaru gah,hate,
HATE_1302,niamma puku denga siggu vundali ra,hate,
HATE_1303,na athulu anta leru na endhuku ra,hate,
HATE_1304,enko sari horn kodite gudda lo pedutha na kodaka,hate,
HATE_1305,music apara lanja kodaka,hate,
HATE_1306,Power staranedi oka brandevadu padithe vadu power star kadukaleduking okkade power star okkaleonly powerful power star pavan Kalyan okkade,non-hate,
HATE_1307,Power star ante movies and acting kadu real star only,non-hate,
HATE_1308,Dil raju mari ekkuva chestunnadu no one can name like pspk,hate,
HATE_1309,kalaM paTTina pratI vADu shrI shrI kAleDu hIro ayina pratI vADu Power Star kAleDu ,non-hate,
HATE_1310,Dont compare it with powerstar veedi laga chetha character lu chillar gadi character lu cheyadu ma Power star vaadu thaginchukunte manchidhi,hate,
HATE_1311,Power star antha scene ledu,hate,
HATE_1312,King of over acting  Anna ki best over actor award always goes to vijay konda babu ,hate,
HATE_1313,Comparing every single bok gadu with Pawan Kalyan,hate,
HATE_1314,Powar star okkade adhi pawan kalyan inka yavaru leru,non-hate,
HATE_1315,Yenta mandhi stars vunna PAWAN KALYAN YE  POWER STAR,non-hate,
HATE_1316,anil rAvapUDi gAru chAlA bAgA cheshAru,non-hate,
HATE_1317,ADiyo phaMkShan sUpar kAmèDI sUpar sUpar sUpar,non-hate,
HATE_1318,Venky sir ki assalu ego anedi leneledhu sir ur super man,non-hate,
HATE_1319,sUpar aMDI AdigAru chAlA bAgA chèppAru mIlA prati sèlabriTI AlochiMchAli,non-hate,
HATE_1320,ADHImatAla madya chichchu pèTTe èdavala nuvAllu nammina devuDu kUDA kShamiMchaDujaihiMdjai shrIrAM,hate,
HATE_1321,bradar mAku ippaTivaraku shivAjI mahArAju  tèlusu Ayana òka kumAruni guriMchi mAku èlAMTi viShayAlu tèliyavu mIru tappaka vIDiyo ‍‌‌cheyaMDi👍,hate,
HATE_1322,mAsTar gAru idi iMTarvyU lA ledu iMTarAgeShan lA uMdi sUpar ,non-hate,
HATE_1323,kòTTakuMDA iMtasepu mATlADina yAMkar ki namaskArAlu chUsina manaki pichchi  parAkAShTa ,hate,
HATE_1324,shiva anna nuvu navvutU narakaM chUpiMche vADivi anna nI iMTarvyU ki vachche vALlaki,hate,
HATE_1325,nA laiph mòttaM lo  phArvarD cheyakuMDA chusina vIDiyo super interview shiva bhayya,non-hate,
HATE_1326,baga chepparu nani anna meru correct,non-hate,
HATE_1327,nani anna meru great,non-hate,
HATE_1328,andukokune vaalu laga vunnaru meru natho comparision na,hate,
HATE_1329,kallu pathukoni sanka kannidhi meru,hate,
HATE_1330,jr ntr chala vinayam ga vuntaru,non-hate,
HATE_1331,kutta paguluddi èvaDainAany partyany other fans ènTIAr anna ni takkuva chesi mATlADite,non-hate,
HATE_1332,devuDu I maniShini I lokaMlo ki paMpeTappuDu nijaM mATlADAli ane ApShan Disable chesi paMpi vuMTADu,non-hate,
HATE_1333,yAMkar gAru asalu mIku daMDaM pèTTAlaMDi bAbu mI opika eMTaMDI ,non-hate,
HATE_1334,He is genuine person aMduke lokal chillara nAyakulu aMtA kalisi vADini TArgèT cheshAru,non-hate,
HATE_1335,ketirèDDi gAru mIru tiragaDaM tappa prabhutvaM nuMDi nidhulu emainA tèstunnArA,hate,
HATE_1336,Rai atanu udyogaM correct gA chestunnADu èMduku ra nAyakulu aMduru kalisi niMdalu vestAru nijAyitI pani cheste èvarikI nachchaduChI,hate,
HATE_1337,RIP Ap Politicians aMta maMdi òkkaDini TArgèT cheshAru aMTe vADu khachchitaMgA vADi DyUTI chestU uMDi uMTADu,hate,
HATE_1338,Mādi telaṅgāṇa rāṣṭraṁ sār Kānī rājakīya nāyakulalō mīraṇṭē entō gauravaṁ,non-hate,
HATE_1339,Andarilo niladhiyadam Sari ayina paddathi kadhu Every one has self respect He is also citizen ok,non-hate,
HATE_1340,Sir M L A Garu Prajala Vadaku Meru Vachi ChalaBaga Matladinaru Sir Bat All M L As Nidarsanam Very good Sir M L A Garu,non-hate,
HATE_1341,Seemasimham ante ila undali great MLA gaaru Dharmavaram prajalu adhrushtavanthulu,non-hate,
HATE_1342,Nayakudu ela undali God bless you sir,non-hate,
HATE_1343,Sarpanchulu corporator lu kadhu vallu lakshalu kottlu nokkeseki Volunteers respect ivvatam nerchukondi MLA,hate,
HATE_1344,"pApaM atanni chUste chAla jAli vestuMdi aMdaru  kalisi ilA irikiMchesi vIDiyo tIsi soShal mIDiyAlo pèTTaDaM èMtavaraku karèkT
èmmèlye ketirèDDi gAru mIru hayyar ApIsar lani ilA prashniMchi vIDiyo pèTTaMDi
ilAMTi chinna udyogula ni ibbaMdulu pèTTi mAnasikaMga vALlani hiMsiMchakaMDi",hate,
HATE_1345,Volunteer chesedhi seva Praja seva oka rakamga Adhi emi govt job kadhu choppinavanni thala upu kunta cheyani ki Time paduthundi andhariki anni chusukoni vallaku help cheyali ante Volunteer anevaru help chese vallu society ki andhukani help chepinchukondi anni Musukoni Pani kadhu chepinchukovalsindi,hate,
HATE_1346,I chillara guMpulo I èMTèk bAbu nu avamAniste aMdariki pènShan vachchinaTTu M L A bilDap ichchi ShehAbASh anukòMTArani bhrama èMTèk chesinoDu I jAb èMduku iMkA kUli chesukomaMTAru I èmmèlye iMtegA vILLu chesedi kharma haidarAbAd lo jAb chUsuko gaDDaM bAbu,hate,
HATE_1347,Ilanti MLA Anni niyojaka vargallo enduku leru,non-hate,
HATE_1348,annayya peru viMTe gUs bams vastAy,non-hate,
HATE_1349,Rgv tho vaka interview plan chesthunava nuvu kuda,non-hate,
HATE_1350,Idi Edo reel kabhatti sari poindhi lekha pothe aadhi anna deenikhi kuda eadoka setair veseavadu Mee midha,non-hate,
HATE_1351,Mana nāyakulu eppuḍu cinna vāḷḷa mīda pratāpaṁ cūpistāru Phasṭ pōyi rōḍlu vēyaṇḍi nīṭ gā,hate,
HATE_1352,mIku chapaDaM IjI akkaDa anubhaviMche vAlaku tèlustAdhi  akkaDa onefour aMte mA vUrilo bas lo onenineeightonefoursixoneonefour ilA potunnAM,hate,
HATE_1353,Mundhu RTC Buses lo students entha ibbandhi padivelthunnaru chudandii valla hanging conditions you have to notice everything,hate,
HATE_1354,Thumbnail marchuko bro ayana CISI kaadhu me veiws kosam edhanna pedtharu,hate,
HATE_1355,Auto vallu volunteer meda kadu  onest roads drainage etc choodu,hate,
HATE_1356,Nuvvu king mawa,non-hate,
HATE_1357,muMdu arèsT cheyaMDi mIDiyA muddu tIsukuraMDi rA,hate,
HATE_1358,bAnisa kaTTappalu bayaTaki vachchAruika jagan ki bhajana chèyyaDAniki,hate,
HATE_1359,nuvvu emi pani mIda vachchAvu nuvvu edi matlduthunvu muMdu mlc ni arest chèyyaMDi,hate,
HATE_1360,Inthavaraku Oka ysrcp mla velli Subrahmanyam family ni kalisi matladaledu miru em sc minister ra miru em Cm thu,hate,
HATE_1361,Rey me self dabba apandi ra babu … Elane late chesi janali yadavalni chestunnaru… mundu arrest cheyandi,hate,
HATE_1362,muMdu arrest chèyyaMDi vADu ShikAru chestunnADu vADu èMduku mIDiyA muMduku rAledu,hate,
HATE_1363,Ore ni veshalu api pani chusko,hate,
HATE_1364,Me Bathukulu yenduku ra,hate,
HATE_1365,peda biDDala kosaM chestunna mIru chestunna kRRiShi abhanaMdanIyaM,non-hate,
HATE_1366,hmtv ki koncham ina siggu unteTitle sakkaga petandhi first chepindhi okati ithe mi Title inkolla undhi ,hate,
HATE_1367,Mallanna fighting for every thing which is relevant to trurth,non-hate,
HATE_1368,Anchor ki questions adagatam reledhu ,hate,
HATE_1369,Madam meeru good questions aduguthunnaru,non-hate,
HATE_1370,Thumbnail Chetha ga undi,hate,
HATE_1371,tèlaMgANa rAShTraM tvaralone shrIlaMka   deshAniki vachchina  ArthikamAMdyaM  karuvu kATakAlu rAbotunnAyi prajalaMdarU  anubhaviMchaDAniki siddhaMgA uMDAli Rip TRS government   sIèM kesiAr ki nivALilu  arpiMchAli😭😭,hate,
HATE_1372,ANJI MAMA AND SATHI ANNA COMBINATION ADHIRINDI,non-hate,
HATE_1373,Jyosham kana nenu ni mida penchukuna prema goppadi Super ,non-hate,
HATE_1374,sAr pAl gAru chAlA maMchi vyakti padimaMdiki maMchi chese vyakti sAr,non-hate,
HATE_1375,sar appuDappuDU itani iMTarvyU tIsukoMDi sarphul èMTartsainmèMT sarbAgA navvukovachchu,non-hate,
HATE_1376,patanAnni kori tèchchukoledu  èvaru emi cheyaledu   aMta A  devuni kRRipa prabhu AshIrvAdaM ,non-hate,
HATE_1377,inni rojulu edo mUlAna saMdehaM uMDe pAl gAru pichchoDA ani kAnI ippuDu kanpharm ayiMdi nAku ,hate,
HATE_1378,botsa oka pichodu,hate,
HATE_1379,èMta navvu vachchiMdo   sUpar spIch anna,non-hate,
HATE_1380,Its NTR revolution  prapan̄ca sini caritralō  naṭane ūpiri gā  jīvistunna  goppa vyakti  mā anna tārakarāmuḍu ,non-hate,
HATE_1381,I sAMg èMta maMdiki maLLI maLLI vinAlanipistuMdiprabhAs puAjA hègde Love Scenes really Awesome Cuteness Overload ,non-hate,
HATE_1382,maiMD lo nuMchi povaTledu gaTTigA chèppAlaMTe A ammAyi ki take a  bow take my respect to the entire radheyshyam team ,non-hate,
HATE_1383,IpATa èMta bAguMdoTrain sInlo klaimAks lo dIni BGm iMkA bAguMdi prabhAkaran gAru taman gAru,non-hate,
HATE_1384,Manchi  pani chesaru ,non-hate,
HATE_1385,Em parva ledu e Narayana college valla entho Mandi pillalu chanipoyhunaru,hate,
HATE_1386,Emumdi le Narayana swamy Court karchulu lawyers karchuluetc anni NEXT YEAR FEES PENCHI VASULU CHESUKOVACHU  ANTHE GA PILLALA USURU TAGILINDI,hate,
HATE_1387,Exams lo vundey vallani invigilators antaru adi kuda teleedhu Veeedu minister chesadu karmara babu chi Thuppas na kodaka,hate,
HATE_1388,Chepadaniku siggu ledu ra neeku,hate,
HATE_1389,sajjanar sir meru great  meru cheshindhi chaala manchi pani,non-hate,
HATE_1390,No one can write meaningful songs like you sirme you sir  Om Shanti ,non-hate,
HATE_1391,Rip sirmIru mammalni viDichi vèLLinAmI pATala rUpaMlo  mA hRRidayaMlo èppuDu jIvistunI vuMTAru,non-hate,
HATE_1392,mIlAMTi arthavaMtamaina pATalu èvaru kUDA rAyaleru sArmI yu sAr OM shAMti,non-hate,
HATE_1393,Miss you balu garu mI pATa vinnappuDallA manasu chAlA prashAMtaMgA uMTadi,non-hate,
HATE_1394,Malli siggu Lekunda noob account eskoni vachesava,hate,
HATE_1395,vachanu anuko gudda paligipodhi,hate,
HATE_1396,NoonelaMje shrIrèDDi chèlli,hate,
HATE_1397,After long tym kadupubba navvanutnx paithyamaawa,non-hate,
HATE_1398,I  twozero twozero saMvatsaraMlo òkka pi èM sIèM èmmèlye gArlu èvaru ènnaDu  cheyani sahAyAlani òke òkka A devuDu sonusUd sAr  gAru Apadalo unna prajala aMdarini kApADukuMTU vachchina òke òkka riyal hIro devuDu sonusUd sAr,non-hate,
HATE_1399,nA bharatamAta chAlA gòppadi èMdukaMTè sonUsUd lAMTi gòppavyakttinI kannaMduku,non-hate,
HATE_1400,nuvvu nijamaina hIrovi pavar sTAr lu  mègA sTAr lu tèramIda mAtrame hIrolu nijajIvitaMlo vALLu jIrolu,non-hate,
HATE_1401,Rgv gAru tèlugu vArigA janmiMchaDaM mana tèlugu vALLu chesukunna adRRiShTaM,non-hate,
HATE_1402,Rgv chAlA saMskAra vaMtamainamaniShi Ayana mATachUpupravartana anniMTilo saMskAraM kòTTòchchinaTlu,non-hate,
HATE_1403,vIDi bòMda gauravaM ichchiMdi kAbaTTi pakkana ummesiMdi ledaMTe vIDu anna mATalaki mòhAne ummestAru iMkèvarainA ayite,hate,
HATE_1404,Houselo lekapoyatapadike gopalu chepukuntunadu waste  gadu,hate,
HATE_1405,Bindu ante flower anukunnava fire fire ahee ,non-hate,
HATE_1406,rip mahesh garu kanIsa parij~nAnaM unnavALlaku kUDA arthamayyelA chèppAru ardhaM kAnivAriki bhagavaMtuDu j~nAnaM ivvAli anikorukuMTunnAnu vAstavAlanu aMgIkariMchinappuDe tappulanu sarichesukogalaM,non-hate,
HATE_1407,trivikram rachana èppuDu sUpar,non-hate,
HATE_1408,mana deshamlo  babu gogineni gaaru lanti valu chalakavali,non-hate,
HATE_1409,babu gogineni gaaru chaala manchi reformer mana ilanti vallu kavali ,non-hate,
HATE_1410,Astrologer Pradeep Joshi  pedda book gaadu,hate,
HATE_1411,Aithey entra koushal mundhu odipoyav kadha enka sigguledhu neku koushal army tho thanninchukuney varaku vurukunnattulevu,hate,
HATE_1412,"Koushal  nijamja peddha manchi manishi
",non-hate,
HATE_1413,"Telugu prajalu chaala ardusthavantadhulu manaki  garikipati Garu dorikinanduku
",non-hate,
HATE_1414,"garikapATi vAru  hiMdU dharmaM yòkka gòppatanaM chèppinaMduku mA dhanyavAdAlu
 hare kRRiShNa ",non-hate,
HATE_1415,"A talli mATallo èMta ardhamu vuMdo aMte Avedana kUDA vuMdi A kuTuMbAniki aMtA maMchi jaragAli
",non-hate,
HATE_1416,"
bhaiya ilAMTi vADini five nimiShAlu taTukòvaDaM kaShTaM kAni nuvvu fourfivenimiShAlu  video chesAvu  nuvvu great",non-hate,
HATE_1417,po ra pichi kukka  siggu ledhu em ledhu asla manishi vey na,hate,
HATE_1418,warner ni retain cheyakapote srh managament gudda pagilipoddi,non-hate,
HATE_1419,threed player ha boogu ha asla bat pattukovadam raadu,hate,
HATE_1420,anayana kapoor overaction tappa em ledhu,hate,
HATE_1421,"navviMchi navviMchi chaMpelA unnAru gA mIru
gèTap shrInu Your Awesome",non-hate,
HATE_1422,mahesh babu gari die hard fan,non-hate,
HATE_1423,rashmika cheshedhi anta over acting tappa em ledhu,hate,
HATE_1424,erri puk moody valla srh playoffs ki pole,hate,
HATE_1425,lanja puk managment valla ma warner mamali vadi velipoyaru,hate,
HATE_1426,lofar lanjakodaka delete cheyi first,hate,
HATE_1427,ne photo pdutha agu ra puka,hate,
HATE_1428,delete cheii bro lekopothey kcpd,hate,
HATE_1429,nee account report  chepista agu ra puka,hate,
HATE_1430,ma anna nee troll chestava ra puka,hate,
HATE_1431,rey delete cheyi lawde,hate,
HATE_1432,delete cheii raa koja,hate,
HATE_1433,moham medha dengutharuu,hate,
HATE_1434,em lanjakodukulu rs meeru,hate,
HATE_1435,fans ne like  naaky intrest poyindhi lawda lo ipl,hate,
HATE_1436,bro delete cheyakapothey ma fans ninnu degenutharu,hate,
HATE_1437,arey sulli gah ma rc medhey chesthava ra,hate,
HATE_1438,waste na kodaka athumukka post lu chesthunavu ra,hate,
HATE_1439,ne notlo na modda delete cheeyi ra gandu,hate,
HATE_1440,baga edit chesaru bayya,non-hate,
HATE_1441,gaajulu thodukoni intlo kurcho,hate,
HATE_1442,munna bhaiya mi abbimanini inkada ni kosam pranam istha,non-hate,
HATE_1443,punju vachi pitta ni dengithey nenu commentry chepijry ala vuntadhi  punjuunggamer,hate,
HATE_1444,okko comment okka diamonad lags vundhi bayya,non-hate,
HATE_1445,dengethe desam pothadhi ball degradun beyy dehradun,hate,
HATE_1446,naku telusu ra nuvvu thedha lanja vi anni,hate,
HATE_1447,kallu kakulu dengiyaa naa lanja kodaka,hate,
HATE_1448,pichi puka adhi wiide ra nuvvu ni erri puku umpiring,hate,
HATE_1449,Veedu Pani ipoiendhi,hate,
HATE_1450,Pora kukka,hate,
HATE_1451,Buthula saka mantri ,hate,
HATE_1452,Kojja mundu supply epinchandi,hate,
HATE_1453,roju I sAMg viMTAnu nA riMg Ton ide anna sUpar sAMg,non-hate,
HATE_1454,sUpar Dupar hiT mUvI thAMks jIvita gArU,non-hate,
HATE_1455,pichoLla guriMchi vinaDame kAni chUDaTaM ide phasT TaiM ,hate,
HATE_1456,chAlle kaLLu tuDuchuko èddu lA unnAv eDiste daridraM gA uMdi,hate,
HATE_1457,nI prAsa rivyU sUpar bayyAHatss off to kannada film industry next level movie keep it up ,non-hate,
HATE_1458,sUpar bro nI eDupu nAku bAgA nachchiMdi,non-hate,
HATE_1459,sinimAlu chUsina chUDakapoyinA nI rivyU mAtraM pakka mis avvakuMDA chUstAM annaany way vishvak anna mUvI rivyU kosaM waiting ,non-hate,
HATE_1460,sinimA chAlA bAguMdi sUparbgood film,non-hate,
HATE_1461,Mahidhar bro Meru chala genuine person,non-hate,
HATE_1462,jAti ratnAlu mUvI chUsi èMta navvukunnAno I cash program chUsi aMtakaMTe èkkuva navvukunnAnu,non-hate,
HATE_1463,ippatiki onezero times chusaanu what a humorous innocent dialogues superb,non-hate,
HATE_1464,Director di super comedychildish behaviourwhen he said wrong answerquestion ardam avaledu ani,non-hate,
HATE_1465,I sinimA chAlA chAlA chAlA bAguMdi annA vALlu òka laik vesukoMDi ,non-hate,
HATE_1466,sUpar bro rivyU ilAne chèppAli unnadI unnaTlu,non-hate,
HATE_1467,Iyana sodi lekuMDA sinimA hITTo chèppesADu bhayyA ilAne iMkA maMchi rivvU chèppAlani manasu pUrtigA korukuMTunna,non-hate,
HATE_1468,AchArya sinimA chAlA bAguMdi ,non-hate,
HATE_1469,kòraTAla  shivA kathA  bAgA tIyaledu,hate,
HATE_1470,Flop vachina directors ki hit yevvadam NTR Anna ki sontham,non-hate,
HATE_1471,Ekkada memu NTR fans evaru bayapadatam ledu enudkante hero director ki freedom ivvali Adi NTR ki and K siva ki chala good bonding undi,non-hate,
HATE_1472,Balayya oka vedhava anukune vallu oka like veskondi,hate,
HATE_1473,Slient pettu bangaram phone,hate,
HATE_1474,Tension lo silent lo pettadam marchipoyindhi,non-hate,
HATE_1475,naresh pottigane vundura famous ga vuntav,non-hate,
HATE_1476,Deenni ycp Lo ki raanivvakandi,hate,
HATE_1477,Td janrdan cbn binami eddaru dongale avasaraniki vadukon vadilese cbn tdp partty,hate,
HATE_1478,nijaMgA I pATa uMdA,non-hate,
HATE_1479,Aada Paduchula Usuru thagili Yellow party nasanam kavali,non-hate,
HATE_1480,E phone Baya inta clarity vachindi video adi theatre lo,non-hate,
HATE_1481,Neelanti  vallu  valla  nijame ayina devunuki  avamanam jarukutundhi,hate,
HATE_1482,RK  comedian ikkada KA Paul is very confident ,non-hate,
HATE_1483,iDream nagaraju interview with bandla ganesh tarvata anta level comedy interview ide malla ,non-hate,
HATE_1484, nenu cheppinappudu counter ivvandi  ,non-hate,
HATE_1485,Madam miku first ga miku mA hRRidaya pUrvaka vaMdanamulumIku lAgA aMdarU IAS and I PS officers uMTe I samAjaM kòMchèM aMTe kòMchaM ainA bAgupaDutuMdi meDaM gAru,non-hate,
HATE_1486,andaru MLA lu elagay undali thanq MLA garu,non-hate,
HATE_1487,Veellandhari kante RSP sir  Eetala sir best leaders ,non-hate,
HATE_1488,Im enjoyed a lot andi a show chusina intha fun undaka povachu good entertainment keep it up bros,non-hate,
HATE_1489,"Full Entertainment ayindhi Revanth reddy maryadaga matladina thittinatte undhi 
Superooo super",non-hate,
HATE_1490,Songs kosam mv ki vellochu super unnayi three songs,non-hate,
HATE_1491,Venkatesh Gaari Mature Quality Entante ippatiki New Born star laaga Kamal gari meedha Unna Fanisaani Choopistunnaru Salute To u Venkatesh Garu,non-hate,
HATE_1492,Ekkada bro nuv ee movie chusindi ,non-hate,
HATE_1493,Ye mobile lo thesav bro clarity bagundhi,non-hate,
HATE_1494,The courage to be disliked ee book summary cheyyandi anna,non-hate,
HATE_1495,Thank you bro Roju mrng walk ki velletappudu ne video vinta u r adding lot of value for me and my tym,non-hate,
HATE_1496,Chalabaundi video correct time lo release chesaru hattsoff to your voice and motivational information ,non-hate,
HATE_1497,Venky mama ekkaduna positive vibes anthe,non-hate,
HATE_1498,onezerozero  cheppav nijame bro,non-hate,
HATE_1499,true naa jevithamlo jarigindi,non-hate,
HATE_1500,Enthaina paatha cinemaalu paatha cinemaale,non-hate,
HATE_1501,Epudu varaku upload chysina videos e video a clarity ga vundi,non-hate,
